flybase_id	rpkm2	rpkm6	rpkm8	rpkm10	gene_name	cgid	chr	start	stop	strand
FBgn0037889	0.47	2.32	4.93	1.78	scpr-A	CG5207	chr3R	7066905	7067845	+
FBgn0037890	18.18	3.7	4.64	15.12	CG17734	CG17734	chr3R	7067922	7069698	-
FBgn0037891	61.51	11.09	13.94	65.01	CG5214	CG5214	chr3R	7070006	7072586	+
FBgn0037892	25.26	30.69	36.58	53.48	mRpL40	CG5242	chr3R	7233645	7234478	+
FBgn0037893	47.91	78.31	89.04	156.03	CG6719	CG6719	chr3R	7234514	7235599	-
FBgn0037894	85.02	13.62	9.2	6.77	Ranbp9	CG5252	chr3R	7238244	7241864	+
FBgn0037895	0.41	0.18	0.11	0.33	CG6723	CG6723	chr3R	7241940	7244389	-
FBgn0037896	0.62	0.08	0.06	0.1	ninaG	CG6728	chr3R	7245098	7247415	-
FBgn0037897	6.11	11.18	11.59	13.61	CG5270	CG5270	chr3R	7247814	7255691	+
FBgn0037898	6.72	4.71	3.54	4.5	CG18643	CG18643	chr3R	7255783	7256484	+
FBgn0037899	367.25	393.5	362.86	409.03	CG6764	CG6764	chr3R	7256462	7257397	-
FBgn0037900	21.59	10.85	8.64	10.66	CG5276	CG5276	chr3R	7257460	7259265	+
FBgn0037901	20.69	20.45	19.89	26.84	CG6744	CG6744	chr3R	7259210	7261425	-
FBgn0037902	31.28	20.85	16.7	15.31	CG5281	CG5281	chr3R	7261572	7263245	+
FBgn0037906	0.06	0.33	0.29	0.6	PGRP-LB	CG14704	chr3R	7278563	7283742	-
FBgn0037908	0.19	0.12	0.02	0.21	dpr5	CG5308	chr3R	7325706	7331677	+
FBgn0037910	0	0	0.06	0	CG14708	CG14708	chr3R	7379911	7380528	+
FBgn0037911	6.38	6.96	5.16	9.22	CG10898	CG10898	chr3R	7383451	7385599	+
FBgn0037912	50.57	8.18	7.6	29.87	CG6782	CG6782	chr3R	7385612	7392771	-
FBgn0037913	49.74	8.11	7.33	28.4	CG6783	CG6783	chr3R	7385612	7392771	-
FBgn0037915	0.05	0.03	0.01	0.06	CG6790	CG6790	chr3R	7401623	7404467	-
FBgn0037916	0.01	0.01	0.05	0.03	CG5342	CG5342	chr3R	7404548	7407198	+
FBgn0037917	1.63	3.58	6.27	7.76	wkd	CG5344	chr3R	7407301	7411027	+
FBgn0037918	28.56	25.67	19.32	14.92	CG6791	CG6791	chr3R	7411076	7415864	-
FBgn0037920	27.73	12	7.68	6.89	CG14710	CG14710	chr3R	7445814	7447450	+
FBgn0037921	14.95	14.27	10.23	10.47	CG6808	CG6808	chr3R	7447188	7451366	-
FBgn0037922	20.19	20.12	16.78	18.12	CG14711	CG14711	chr3R	7449096	7450670	+
FBgn0037923	2.66	3.18	2.31	5.34	CG6813	CG6813	chr3R	7450991	7452360	-
FBgn0037924	20.1	17.73	18.86	13.56	CG14712	CG14712	chr3R	7454483	7459426	+
FBgn0037926	18.14	38.16	45.31	40.75	CG10535	CG10535	chr3R	7476710	7481062	+
FBgn0037930	191.5	52.5	41.1	70.05	CG14715	CG14715	chr3R	7499941	7500654	+
FBgn0037931	6.17	9.77	8.92	7.2	CG18476	CG18476	chr3R	7500631	7503835	-
FBgn0037933	27.95	12.23	6.71	6.94	Ho	CG14716	chr3R	7505481	7506698	+
FBgn0037934	0.73	0.25	0.36	0.32	CG6830	CG6830	chr3R	7506691	7510062	-
FBgn0037935	0.19	0.41	1.51	1.28	CG6834	CG6834	chr3R	7510391	7513852	-
FBgn0037936	0	0.05	0.08	0.19	CG6908	CG6908	chr3R	7514099	7515745	-
FBgn0037937	0	0.49	1.69	1.2	Fer3	CG6913	chr3R	7519132	7519999	-
FBgn0037938	0	0	0.03	0.03	CG14717	CG14717	chr3R	7522231	7523384	+
FBgn0037939	0	0.03	0.05	0	CG14718	CG14718	chr3R	7526336	7528442	+
FBgn0037940	0	0.46	0.68	2.08	CG14720	CG14720	chr3R	7537501	7538076	+
FBgn0037941	0.02	0.08	0.08	0.14	CG12594	CG12594	chr3R	7547526	7558201	+
FBgn0037942	6.76	12.14	17.57	27.62	CG14721	CG14721	chr3R	7561169	7562565	+
FBgn0037943	80.91	106.03	81.07	65.12	CG14722	CG14722	chr3R	7567584	7569762	+
FBgn0037944	5.15	4.13	10.08	10.36	CG6923	CG6923	chr3R	7570204	7575186	-
FBgn0037949	3.92	3.91	4.12	3.14	CG17360	CG17360	chr3R	7606851	7612736	-
FBgn0037950	1.1	0.51	0.53	0.25	HisCl1	CG14723	chr3R	7612898	7615115	+
FBgn0037955	5.56	7.89	9.05	20.05	CG6950	CG6950	chr3R	7646103	7648210	-
FBgn0037956	0.06	53.59	83	36.29	CG6959	CG6959	chr3R	7648424	7695183	-
FBgn0037958	64.71	24.01	15.37	8.81	CG6962	CG6962	chr3R	7705424	7708257	-
FBgn0037960	1.63	20.04	14.96	10.78	mthl5	CG6965	chr3R	7709660	7712887	-
FBgn0037962	2.17	1.07	0.53	0.82	CG6971	CG6971	chr3R	7718031	7719019	-
FBgn0037963	44.59	19.87	19.87	14.28	Cad87A	CG6977	chr3R	7719234	7727915	-
FBgn0037964	0	0.03	0.07	0	CG14731	CG14731	chr3R	7756984	7759365	+
FBgn0037970	0.72	0.16	0.36	0.06	CG12201	CG12201	chr3R	7797416	7798627	+
FBgn0037972	1.33	8.08	10.39	13.37	CG10005	CG10005	chr3R	7800877	7802912	-
FBgn0037973	20.39	1.28	1.55	4.84	CG18547	CG18547	chr3R	7804343	7806066	-
FBgn0037974	0.3	0.16	0.4	0.85	CG12224	CG12224	chr3R	7806554	7807743	-
FBgn0037975	7.62	0.07	0.15	0.39	CG3397	CG3397	chr3R	7808808	7810263	-
FBgn0037976	0.56	0.04	0.04	0.12	Tk	CG14734	chr3R	7819897	7831194	-
FBgn0037978	34.9	20.47	18.68	19.57	KLHL18	CG3571	chr3R	7833832	7836152	-
FBgn0037979	14.68	9.22	8.88	7.66	CG3532	CG3532	chr3R	7836504	7840784	+
FBgn0037980	30.13	19.47	13.26	11.69	CG3313	CG3313	chr3R	7840665	7842753	-
FBgn0037981	37.29	20.4	16.86	19.52	Spt3	CG3169	chr3R	7842822	7844272	+
FBgn0037985	0.07	2.55	0.69	0.18	ssp5	CG14735	chr3R	7858864	7861247	+
FBgn0037986	0	48.31	35.91	17.72	CG14736	CG14736	chr3R	7866250	7869175	+
FBgn0037987	0.04	0	0	0	CG14739	CG14739	chr3R	7873975	7874935	-
FBgn0037988	0	0	0	0	CG14740	CG14740	chr3R	7886792	7888666	-
FBgn0037989	0.02	1.96	0.92	0.54	CG14741	CG14741	chr3R	7894964	7903198	-
FBgn0037992	18.28	9.34	8.51	61.75	CG4702	CG4702	chr3R	7947299	7953919	-
FBgn0037993	0.02	0.01	0.02	0	dpr15	CG10095	chr3R	7964555	7984317	-
FBgn0037994	0.01	0	0	0	CG4810	CG4810	chr3R	8018425	8020733	-
FBgn0037995	0.04	0	0	0.02	CG3809	CG3809	chr3R	8023663	8025196	+
FBgn0037996	0.09	0.47	0.83	1.95	CG4830	CG4830	chr3R	8033879	8036079	-
FBgn0037998	10.07	19.91	21.89	28.54	CG4848	CG4848	chr3R	8041377	8045412	-
FBgn0037999	9.87	1	0.51	2.55	CG4860	CG4860	chr3R	8045603	8047185	-
FBgn0038000	0	0	0	0	CG10014	CG10014	chr3R	8048109	8049770	+
FBgn0038001	0.03	0	0	0.04	CG17404	CG17404	chr3R	8049713	8050741	-
FBgn0038002	0	0.21	0.23	1.17	CG12256	CG12256	chr3R	8051004	8052061	-
FBgn0038003	0.04	0	0	0	CG3916	CG3916	chr3R	8055178	8056041	+
FBgn0038005	0	0	0	0	Cyp313a5	CG15807	chr3R	8058575	8060406	-
FBgn0038006	0	0	0.02	0.02	Cyp313a2	CG10094	chr3R	8060792	8062621	-
FBgn0038007	0.02	0.04	0.05	0	Cyp313a3	CG10093	chr3R	8063001	8064831	-
FBgn0038008	0.01	0.17	0.28	0.01	CG3942	CG3942	chr3R	8079909	8082314	+
FBgn0038009	0.15	0.8	1.04	1.21	CG17738	CG17738	chr3R	8096612	8097022	+
FBgn0038011	0	0	0.06	0	CG4066	CG4066	chr3R	8137075	8138841	+
FBgn0038012	6.15	0.14	0.02	0.04	CG10013	CG10013	chr3R	8149245	8150936	+
FBgn0038013	51.29	2.6	3.11	9.08	CG10038	CG10038	chr3R	8174706	8176367	-
FBgn0038014	3.45	1.12	1.09	1.87	CG10041	CG10041	chr3R	8176609	8177740	-
FBgn0038016	38.52	43.83	41.72	36.13	MBD-R2	CG10042	chr3R	8177865	8181982	-
FBgn0038017	0.09	18.2	12.68	56.36	CG4115	CG4115	chr3R	8185733	8188975	+
FBgn0038018	0.03	0	0	0.07	Tim17a1	CG10090	chr3R	8189389	8190402	-
FBgn0038020	40.03	7.87	2.5	4.52	GstD9	CG10091	chr3R	8191902	8193286	-
FBgn0038028	1257.86	55.08	1.88	2.16	CG10035	CG10035	chr3R	8207373	8208412	-
FBgn0038029	0.91	0.18	0.4	0.52	CG17639	CG17639	chr3R	8209083	8211348	+
FBgn0038032	0.13	0.12	0.17	0.31	CG10096	CG10096	chr3R	8216405	8221702	-
FBgn0038033	0.13	0.12	0.17	0.31	CG10097	CG10097	chr3R	8216405	8221702	-
FBgn0038034	0.66	0.93	0.93	1.6	Cyp9f3Psi	CR17875	chr3R	8221730	8224644	-
FBgn0038035	20.31	6.81	7.04	6.51	lig3	CG17227	chr3R	8224733	8227535	-
FBgn0038037	0.98	3.54	2.88	6.07	Cyp9f2	CG11466	chr3R	8229057	8231809	-
FBgn0038038	20.06	18.89	7.3	8.89	CG5167	CG5167	chr3R	8232254	8233824	+
FBgn0038039	14.99	35.52	25.58	25.32	CG5196	CG5196	chr3R	8234044	8237380	+
FBgn0038042	1.46	3.03	4.81	19.98	Scgbeta	CG5657	chr3R	8246956	8248151	-
FBgn0038043	23.51	46.53	37.82	29.84	CG17202	CG17202	chr3R	8248490	8249334	+
FBgn0038045	1.12	3.13	2.03	2.76	Sas	CG5232	chr3R	8252300	8253599	+
FBgn0038046	66.38	83.22	88.01	85.98	CG5641	CG5641	chr3R	8253515	8255002	-
FBgn0038047	4.62	3.37	2.92	1.58	CG5245	CG5245	chr3R	8255307	8256960	+
FBgn0038049	12.71	8.86	15.36	22.54	CG5844	CG5844	chr3R	8259824	8261365	+
FBgn0038051	0.02	0.05	0	0.03	CG17207	CG17207	chr3R	8263536	8264861	-
FBgn0038052	0.67	0.07	0.05	0.15	CG5538	CG5538	chr3R	8273375	8274768	+
FBgn0038053	23.91	19.57	16.16	17.14	CG18549	CG18549	chr3R	8275018	8282084	+
FBgn0038054	0.34	0.37	0.08	0.14	CG5509	CG5509	chr3R	8278212	8278677	+
FBgn0038055	11.2	16.99	17.51	20.14	trus	CG5333	chr3R	8282294	8283929	+
FBgn0038056	7.47	9.04	10.54	16.71	CG5961	CG5961	chr3R	8284141	8285922	-
FBgn0038057	19.22	19.91	16.18	13.86	CG12267	CG12267	chr3R	8286191	8288140	+
FBgn0038058	20.28	1.15	1.58	4.56	CG5608	CG5608	chr3R	8288284	8291020	-
FBgn0038063	0.47	0.24	0.11	0.51	Octbeta2R	CG33976	chr3R	8378211	8386839	-
FBgn0038065	182.6	210.18	125.68	99.15	CG6359	CG6359	chr3R	8453763	8455783	+
FBgn0038067	1.27	0.45	0.8	0.9	CG11598	CG11598	chr3R	8460639	8462007	+
FBgn0038068	0.39	0.19	0.12	0.23	CG11600	CG11600	chr3R	8462290	8463602	+
FBgn0038069	0.12	0.12	0.08	0.08	CG11608	CG11608	chr3R	8464203	8465669	+
FBgn0038070	0.34	1.07	0.8	1.03	CG6753	CG6753	chr3R	8465885	8468295	-
FBgn0038071	101.29	394.75	344.8	279.78	CG6234	CG6234	chr3R	8473782	8478635	+
FBgn0038072	0.09	1.31	1.06	5.76	CG6225	CG6225	chr3R	8480299	8486588	+
FBgn0038073	0.02	0.95	1.5	9.38	CG14395	CG14395	chr3R	8489943	8499681	+
FBgn0038074	0.1	1.24	1.05	5.24	CG6188	CG6188	chr3R	8500331	8501806	+
FBgn0038076	0.04	0	0.04	0.2	Cyp313a4	CG6802	chr3R	8505000	8507097	-
FBgn0038078	0.36	0	0	0	CG14391	CG14391	chr3R	8519945	8520564	-
FBgn0038079	0.11	0.18	0.58	1.48	CG14394	CG14394	chr3R	8520868	8523265	+
FBgn0038080	14.02	7.11	5.76	8.28	CG12279	CG12279	chr3R	8530816	8531541	+
FBgn0038082	1.29	0.01	0	0	CG5724	CG5724	chr3R	8565384	8567042	+
FBgn0038083	0.02	0	0	0.02	CG5999	CG5999	chr3R	8567750	8569344	-
FBgn0038084	0.11	0.05	0	0	beat-Vc	CG14390	chr3R	8572337	8580510	-
FBgn0038087	0.21	0	0.12	0.04	beat-Va	CG10134	chr3R	8667940	8672746	-
FBgn0038088	0	0.19	0.08	0.47	CG10126	CG10126	chr3R	8681260	8684939	-
FBgn0038089	0.05	0	0	0	d-cup	CG14387	chr3R	8717777	8718544	+
FBgn0038090	0.03	0	0	0	CG10909	CG10909	chr3R	8735903	8737014	-
FBgn0038092	2.14	0.07	0.08	0.18	beat-Vb	CG31298	chr3R	8741844	8760535	+
FBgn0038095	0.11	2.01	0.96	4.01	Cyp304a1	CG7241	chr3R	8789519	8791652	+
FBgn0038097	0	0	0	0	CG14384	CG14384	chr3R	8791660	8792442	-
FBgn0038098	8.38	0.22	0.53	0.81	CG7381	CG7381	chr3R	8793497	8803193	-
FBgn0038099	7.96	0.31	0.46	0.43	CG7091	CG7091	chr3R	8803681	8806257	+
FBgn0038100	55.81	21.29	12.03	3.49	Paip2	CG12358	chr3R	8806768	8810345	+
FBgn0038102	0.6	2.19	1.79	0.67	CG14383	CG14383	chr3R	8813222	8814220	-
FBgn0038105	0.39	0.3	0.51	0.77	yellow-f2	CG8063	chr3R	8819115	8820869	-
FBgn0038106	18.39	24.34	24.17	30.93	CG7488	CG7488	chr3R	8821369	8822647	+
FBgn0038107	53.86	48.8	44.4	55.91	CG17327	CG17327	chr3R	8822590	8823404	-
FBgn0038108	28.81	22.84	22.72	14.75	CG7518	CG7518	chr3R	8824307	8834126	+
FBgn0038109	3.14	4.26	3.79	3.08	CG11656	CG11656	chr3R	8835617	8836808	+
FBgn0038110	29.09	69.21	61.52	74.84	CG8031	CG8031	chr3R	8834106	8837010	-
FBgn0038111	31.6	23.19	15.72	12.01	CG12360	CG12360	chr3R	8852747	8856372	-
FBgn0038113	2.23	0.32	0.3	0.48	CG11668	CG11668	chr3R	8864135	8865906	+
FBgn0038114	0.3	0.52	1.08	2.26	CG11670	CG11670	chr3R	8867790	8870123	+
FBgn0038115	1.76	3.2	9.1	5.2	CG7966	CG7966	chr3R	8875120	8877172	-
FBgn0038118	24.69	3.8	2.29	2.15	timeout	CG7855	chr3R	8914373	8989598	+
FBgn0038122	0.02	0.02	0	0	CG8138	CG8138	chr3R	9006398	9007825	+
FBgn0038123	0.03	0	0	0	CG8508	CG8508	chr3R	9011248	9012232	-
FBgn0038124	0.11	0	0	0	CG14380	CG14380	chr3R	9014287	9015290	+
FBgn0038125	0	0	0	0	CG8141	CG8141	chr3R	9017423	9018231	+
FBgn0038126	0.14	0.71	2.8	4.06	CG8483	CG8483	chr3R	9034470	9040187	-
FBgn0038127	0	0	0.08	0	CG8476	CG8476	chr3R	9045362	9046300	-
FBgn0038128	11.01	12.12	9.52	10.12	Ravus	CG15889	chr3R	9088454	9089755	-
FBgn0038129	29.64	23.44	31.25	34.71	CG8449	CG8449	chr3R	9094859	9097748	-
FBgn0038130	0.07	0.18	0.1	0.37	CG8630	CG8630	chr3R	9105445	9110316	+
FBgn0038131	0	0	0.03	0	CG15888	CG15888	chr3R	9110671	9112251	-
FBgn0038132	0.04	6.1	3.22	9.25	CG15887	CG15887	chr3R	9113371	9114532	-
FBgn0038133	0.53	0	0.03	0	Osi22	CG8644	chr3R	9116438	9117568	+
FBgn0038134	84.01	3.6	0.16	0.06	wntD	CG8458	chr3R	9117774	9118920	-
FBgn0038135	1.63	0.22	0.06	0.63	CG8773	CG8773	chr3R	9120472	9124010	+
FBgn0038136	0.03	0.18	0.2	1.12	CG8774	CG8774	chr3R	9124569	9128056	+
FBgn0038139	0.03	0.05	0.18	0.46	CG8795	CG8795	chr3R	9154787	9159885	-
FBgn0038140	0.02	0.02	0.02	0.02	CG8784	CG8784	chr3R	9165892	9170508	+
FBgn0038142	0	0.04	0.06	0.32	CheA87a	CG14379	chr3R	9195391	9196069	+
FBgn0038143	0.24	0.15	0.1	0.41	CG9813	CG9813	chr3R	9198821	9205494	-
FBgn0038144	0.83	0.22	0.2	0.16	CG8870	CG8870	chr3R	9205862	9207065	+
FBgn0038145	260.91	192.47	134.72	141.73	Droj2	CG8863	chr3R	9207799	9211013	+
FBgn0038146	31.24	75.27	87.07	73.1	CG9799	CG9799	chr3R	9211360	9214429	-
FBgn0038147	0.16	0.11	0.03	0.29	CG14375	CG14375	chr3R	9214779	9220912	-
FBgn0038148	0	0	0	0	CG14377	CG14377	chr3R	9223589	9223906	+
FBgn0038149	179.67	25.53	84.02	146.35	CG9796	CG9796	chr3R	9224247	9227580	-
FBgn0038150	8.81	25.12	30.87	19	yellow-e3	CG17045	chr3R	9229143	9230590	-
FBgn0038151	0.27	12.8	16.9	9.11	yellow-e2	CG17044	chr3R	9231029	9232720	-
FBgn0038153	0.01	0.03	0.07	0.15	Ir87a	CG14376	chr3R	9245995	9248862	+
FBgn0038156	1.2	17.77	27.84	22.07	CG14372	CG14372	chr3R	9281637	9288483	+
FBgn0038157	0	0	0	0	CG12538	CG12538	chr3R	9348673	9349257	-
FBgn0038158	0	0	0	0	CG14370	CG14370	chr3R	9413909	9414307	+
FBgn0038159	0	0	0	0	CG14369	CG14369	chr3R	9417998	9418336	-
FBgn0038160	0.26	0.04	0	0.27	CG9759	CG9759	chr3R	9434475	9434968	-
FBgn0038161	0	0.1	0	0.53	CG9269	CG9269	chr3R	9441726	9442166	+
FBgn0038162	0	0	0	0	CG14368	CG14368	chr3R	9451016	9451351	-
FBgn0038163	0.07	0.04	0.03	0.03	CG10841	CG10841	chr3R	9457664	9460590	+
FBgn0038165	0.08	0.09	0.15	0.05	Task6	CG9637	chr3R	9494313	9497823	-
FBgn0038166	25.08	39.91	27.47	28.15	CG9588	CG9588	chr3R	9500814	9502398	-
FBgn0038167	17.95	18.59	12.56	12.39	lkb1	CG9374	chr3R	9502271	9505152	+
FBgn0038168	23.1	21.78	17.47	17.29	omd	CG9591	chr3R	9505151	9512932	-
FBgn0038170	6.62	3.82	5.29	5.95	CG14367	CG14367	chr3R	9519775	9521484	+
FBgn0038172	1.79	0.21	0.17	0.24	Adgf-D	CG9621	chr3R	9528806	9531180	-
FBgn0038173	0.64	0.15	0.14	0.25	Adgf-C	CG9345	chr3R	9532479	9534854	+
FBgn0038175	0	0.03	0	0	CG9602	CG9602	chr3R	9543172	9543888	-
FBgn0038179	0	0.14	0	0.25	CG9312	CG9312	chr3R	9591497	9592829	+
FBgn0038180	0.07	2.49	7.46	21.34	Cht5	CG9307	chr3R	9593273	9596454	+
FBgn0038181	0.11	0.7	0.37	0.53	CG9297	CG9297	chr3R	9597320	9605037	+
FBgn0038183	29.23	90.9	80.16	97.77	CG9286	CG9286	chr3R	9606714	9607808	+
FBgn0038186	0	0	0	0	CG14362	CG14362	chr3R	9680383	9681171	-
FBgn0038188	0.04	0	0	0	Art9	CG9929	chr3R	9767273	9769124	-
FBgn0038189	0	0	0	0	Art6	CG9927	chr3R	9770421	9771504	-
FBgn0038190	5.9	0.12	0.12	0.04	CG9926	CG9926	chr3R	9775946	9776860	-
FBgn0038191	39.31	0.65	0.5	0.41	CG9925	CG9925	chr3R	9786432	9789891	-
FBgn0038194	13.23	8.02	14.84	31.13	Cyp6d5	CG3050	chr3R	9854952	9857206	+
FBgn0038195	35.78	53.09	43.9	51.16	CG3061	CG3061	chr3R	9858089	9860764	+
FBgn0038196	33.95	90.8	67.62	58.33	CG9922	CG9922	chr3R	9860738	9861887	-
FBgn0038197	4.67	2.35	6.29	3.91	foxo	CG3143	chr3R	9882674	9913698	+
FBgn0038198	0.14	3.3	2.68	11.92	Npc2b	CG3153	chr3R	9915245	9918149	+
FBgn0038199	0.15	0.05	0.04	0.23	CG14358	CG14358	chr3R	9918215	9922557	-
FBgn0038200	0.13	0	0	0.09	CG9920	CG9920	chr3R	9923015	9923802	-
FBgn0038201	0	0	0	0.1	CG9918	CG9918	chr3R	9926126	9928562	-
FBgn0038202	0.26	9.89	5.12	4.01	CG12402	CG12402	chr3R	9930595	9933878	-
FBgn0038203	0.03	0.11	0.15	0.08	Or88a	CG14360	chr3R	9935167	9936545	+
FBgn0038204	0.07	0.07	0	0.07	CG14357	CG14357	chr3R	9936873	9937888	-
FBgn0038205	0.14	0.06	0.12	0.32	Kif19A	CG9913	chr3R	9938345	9944121	-
FBgn0038206	11.3	36.47	27.75	37.97	twf	CG3172	chr3R	9948380	9950199	+
FBgn0038207	1.72	0.47	0.58	0.67	CG14356	CG14356	chr3R	9956400	9957791	-
FBgn0038208	0.01	0	0	0	CG14355	CG14355	chr3R	9974230	9977721	-
FBgn0038209	0.1	0	0	0	CG9722	CG9722	chr3R	9978607	9979551	-
FBgn0038210	0	0	0	0	CG3199	CG3199	chr3R	9988441	9989347	+
FBgn0038211	0.02	0.03	0	0.02	CG9649	CG9649	chr3R	10041181	10043588	-
FBgn0038213	0.03	0	0	0	CG9624	CG9624	chr3R	10053922	10054882	-
FBgn0038214	0	0.08	0.06	0.12	CG9616	CG9616	chr3R	10070526	10071193	-
FBgn0038217	0	0	0	0.03	CG14840	CG14840	chr3R	10085930	10086935	-
FBgn0038218	0.2	0.07	0.11	0	CG14841	CG14841	chr3R	10087113	10088140	-
FBgn0038219	0	0.04	0.04	0.03	CG14839	CG14839	chr3R	10088109	10089094	+
FBgn0038220	14.91	18.7	17.65	14.12	CG12207	CG12207	chr3R	10114794	10127995	+
FBgn0038221	0.05	4.82	2.39	1.47	CG3259	CG3259	chr3R	10128178	10130132	+
FBgn0038223	10.16	8.42	7.1	3.89	CG8538	CG8538	chr3R	10147101	10152404	-
FBgn0038224	291.37	187.68	171.77	255.67	CG3321	CG3321	chr3R	10152746	10153473	+
FBgn0038225	0.05	0.12	0.16	0.33	soti	CG8489	chr3R	10206105	10207421	-
FBgn0038233	25.51	12.19	11.47	11.79	HtrA2	CG8464	chr3R	10335616	10337414	-
FBgn0038234	61.5	39.88	32.69	39.26	mRpL11	CG3351	chr3R	10337590	10338415	+
FBgn0038235	45.45	34.5	25.72	15.18	CG8461	CG8461	chr3R	10338358	10339327	-
FBgn0038236	0	0.03	0	0.02	Cyp313a1	CG3360	chr3R	10346793	10348696	+
FBgn0038237	0.14	0.3	0.21	0.33	Pde6	CG8279	chr3R	10339622	10355513	-
FBgn0038238	0.1	0.1	0	0.05	CG14854	CG14854	chr3R	10384886	10385776	-
FBgn0038239	0	0	0	0	CG14850	CG14850	chr3R	10386704	10387243	+
FBgn0038240	0	0.05	0	0.14	CG14851	CG14851	chr3R	10388084	10388542	+
FBgn0038241	0.62	0.05	0.15	0.14	CG8087	CG8087	chr3R	10390044	10390504	-
FBgn0038242	1.03	0.08	0.2	0.7	CG14852	CG14852	chr3R	10391668	10392192	+
FBgn0038243	6.64	1.46	1.35	3.22	CG8066	CG8066	chr3R	10393332	10394532	-
FBgn0038244	17.08	33.25	50.13	52.12	CG7987	CG7987	chr3R	10396194	10401570	-
FBgn0038246	0.26	0.13	0.06	0.12	CG14853	CG14853	chr3R	10435371	10444709	+
FBgn0038247	1.42	0.2	0.57	1.33	Cad88C	CG3389	chr3R	10460475	10467334	+
FBgn0038248	0.73	0.15	0.06	0.1	CG7886	CG7886	chr3R	10452395	10468285	-
FBgn0038250	1.64	5.23	3.91	26.42	CG3505	CG3505	chr3R	10483193	10484950	+
FBgn0038251	40.7	21.25	33.51	40.42	CG3508	CG3508	chr3R	10485163	10486905	+
FBgn0038252	95.09	0.97	0.33	0.41	CG3509	CG3509	chr3R	10489165	10490544	+
FBgn0038256	25.78	1.56	1.32	6.24	CG7530	CG7530	chr3R	10550472	10557231	-
FBgn0038257	0.31	4.94	6.5	6.46	smp-30	CG7390	chr3R	10571623	10573043	-
FBgn0038258	0.13	0.22	0.16	0.08	CG7362	CG7362	chr3R	10575083	10588758	-
FBgn0038260	0.15	0.75	0.76	1.1	CG14855	CG14855	chr3R	10622029	10624193	+
FBgn0038261	0.3	12.59	6.31	7.34	CG14856	CG14856	chr3R	10624712	10626887	+
FBgn0038262	0.62	1.22	0.59	0.4	CG14857	CG14857	chr3R	10627512	10630067	+
FBgn0038266	0.02	0	0.02	0	CG3610	CG3610	chr3R	10670765	10672459	+
FBgn0038267	0	0	0	0	CG17304	CG17304	chr3R	10685027	10685560	-
FBgn0038268	7.98	5.32	6.84	5.57	CG3631	CG3631	chr3R	10705163	10708348	+
FBgn0038269	56.82	42.99	41.15	23.83	Rrp6	CG7292	chr3R	10708105	10711918	-
FBgn0038271	156.59	139.62	183.27	323.19	CG3731	CG3731	chr3R	10715800	10718109	+
FBgn0038272	88.88	82.08	40.6	37.12	CG7265	CG7265	chr3R	10718114	10719675	-
FBgn0038273	5.53	4.46	2.2	2.6	CG14860	CG14860	chr3R	10720506	10721408	+
FBgn0038274	76.41	30.31	17.9	13.23	CG7262	CG7262	chr3R	10721428	10724090	-
FBgn0038275	77.68	132.63	89.76	73.92	CG3817	CG3817	chr3R	10724435	10725341	+
FBgn0038276	2.73	1.33	1.9	0.99	CG7026	CG7026	chr3R	10725361	10725999	-
FBgn0038277	1394.36	1194.14	719.78	676.46	RpS5b	CG7014	chr3R	10726154	10727310	-
FBgn0038279	9.9	0.93	1.65	3.21	CG3837	CG3837	chr3R	10744402	10748027	+
FBgn0038280	0	0	0	0	CG14861	CG14861	chr3R	10840492	10841759	+
FBgn0038281	0.08	0	0	0	RpL10Aa	CG3843	chr3R	10863088	10863872	+
FBgn0038282	0.03	0.05	0.1	0.04	dpr9	CG33485	chr3R	10882195	10902927	-
FBgn0038285	0	0.03	0.14	0.09	CG6974	CG6974	chr3R	10904252	10905007	-
FBgn0038286	22.82	18.38	38.19	31.64	CG6966	CG6966	chr3R	10906169	10921333	-
FBgn0038289	3.15	4.62	6.58	4.82	CG6934	CG6934	chr3R	10937311	10957645	-
FBgn0038290	1.13	5.91	7.02	12.48	CG6912	CG6912	chr3R	10960860	10962702	-
FBgn0038291	0.49	4.59	6.24	9.02	CG3984	CG3984	chr3R	10962884	10964626	+
FBgn0038292	0.17	2.81	5.1	12.04	CG3987	CG3987	chr3R	10965707	10967444	+
FBgn0038293	171.09	45.56	54.71	150.35	CG6904	CG6904	chr3R	10967562	10973329	-
FBgn0038294	0.01	1.1	0.62	1.04	Mf	CG6803	chr3R	10996347	11006143	-
FBgn0038295	0.08	0.16	0.2	0.32	Gyc88E	CG4154	chr3R	11009908	11016964	+
FBgn0038296	5.06	8.8	8.36	6.26	CG6752	CG6752	chr3R	11016272	11021932	-
FBgn0038299	0.18	0.14	0.15	0.53	CG6687	CG6687	chr3R	11032418	11034484	-
FBgn0038300	46.92	16.98	13.03	12.08	CG4203	CG4203	chr3R	11034928	11037071	+
FBgn0038301	19.3	18	13.74	12.32	CG6654	CG6654	chr3R	11036999	11039322	-
FBgn0038302	9.46	1.91	1.66	3.52	CG4210	CG4210	chr3R	11039696	11040531	+
FBgn0038303	18.81	11.46	9.9	12.09	CG6623	CG6623	chr3R	11040471	11044596	-
FBgn0038304	13.85	15.2	14.14	16.93	CG12241	CG12241	chr3R	11044984	11048093	+
FBgn0038306	48.62	75.43	71.79	63.74	Art3	CG6563	chr3R	11053327	11055161	-
